id,name,price,unit,category,top_category,subcategory,category_url,image_url
p00116,Uttam Sugar Candy Mishri,25,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00117,Yippee Magic Masala Instant Noodles with Added Veggies - Pack of 2,107,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00118,Yippee Magic Masala Instant Noodles with Added Veggies,90,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00119,Maggi Masala - 2 Minutes Instant Noodles Made With Quality Spices - Pack of 2,119,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00120,Maggi Masala - 2 Minutes Instant Noodles Made With Quality Spices,60,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00121,Maggi Double Masala Instant Noodles - Pack of 4,76,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00122,Maggi Double Masala Instant Noodles,20,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00123,Maggi 2 Minutes Instant Noodles Made With Quality Spices - Pack of 2,161,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00124,Maggi 2 Minutes Instant Noodles Made With Quality Spices,83,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00125,Maggi 2 - Minute Instant Noodles Made With Quality Spices,162,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00126,Maggi Nutrilicious Veg Atta Noodles Made with Only Atta Flour,97,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00127,Maggi Nutrilicious Veg Atta Instant Noodles,30,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00128,Maggi Masala Cuppa Noodles,55,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00129,Nongshim Shin Ramyun Spicy Flavoured Instant Noodles,99,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00130,Wai Wai Ready To Eat Veg Masala Noodles,86,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00131,Nissin Geki Carbonara Veg Korean Ramen Noodles,53,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00132,Maggi Spicy Cheesy Instant Noodles,85,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00133,Tops Plain Hakka Noodles,65,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00134,"Ching's Secret Hakka Noodles with Masala (Not Fried, Air Dried)",35,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00135,Nissin Geki Spicy Veg Korean Ramen Noodles,55,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00136,Nissin Geki Korean Ramen Spicy Veg Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00137,Moi Soi Veg Hakka Noodles - Not Fried,98,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00138,Wai Wai Ready To Eat Chicken Noodles,86,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00139,Maggi 2-Minute Special Masala Instant Noodles - Pack of 4,198,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00140,Maggi 2-Minute Special Masala Instant Noodles,100,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
p00141,Nongshim Shin Red Super Spicy Noodles,118,,Noodles Pasta Instant,Instant & Frozen,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
