name,price,unit,category,subcategory,category_url,image_url
Tata Himalayan Pink Rock Salt (Sendha Namak),58,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Tata Himalayan Pink Rock Salt (Sendha Namak) (Sendha Namak),105,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Tata Salt (Vacuum Evaporated Iodised),29,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Grocery Sugar (Packet),56,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Uttam Sugar Sulphurless Sugar,58,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Aashirvaad Himalayan Pink Salt /Sendha Namak,73,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Fortune Sulphurless Sugar,58,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Tata Salt Lite (15% Less Sodium),54,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Dhampur Green Desi Khand,99,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Grocery Sugar (5 kg),273,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Mawana Premium Crystal Sulphurless Sugar,66,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Diamond Mishri,15,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Dhampure White Crystal Sulphurless Sugar,293,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Catch Sprinklers - Black Salt (Kala Namak),47,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Jaggery,55,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Jaggery Powder,59,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Madhur Pure & Hygienic Sulphurless Sugar,64,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Powder Black Salt (Kala Namak),22,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Dhampur Green Desi Khand (Brown),120,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Mawana Premium Crystal Sulphurless Sugar - 5 kg,315,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
Whole Farm Premium Black Salt (Kala Namak),15,,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
